"Refs","Value","Footprint","Qty","DNP"
"J1","Line electrodes","EDA_lib:Line_electrodes","1",""
"J2","SM12B-GHS","Connector_JST:JST_GH_SM12B-GHS-TB_1x12-1MP_P1.25mm_Horizontal","1",""
